TEAM,NATIONALITY,POSITION,AGE,POTENTIAL,NAME
Stade Malherbe Caen ,Burkina Faso,Defensa lateral|Defensa central,27,Bueno,Steeve Yago
Molde FK ,Norway,Defensa central,28,Bueno,Martin Bjørnbak
Pohang Steelers ,Korea Republic,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,30,Bueno,Shim Dong Woon
D.C. United ,Brazil,Mediocampista defensivo|Mediocampista central,29,Bueno,Felipe
1. FC Nürnberg ,Sweden,Delantero,27,Bueno,Mikael Ishak
Karlsruher SC ,Germany,Delantero,27,Bueno,Philipp Hofmann
Audax Italiano ,Chile,Defensa central,29,Bueno,Carlos Labrín
Free Agents ,South Africa,Delantero,32,Bueno,Bradley Grobler
FC Sochaux-Montbéliard ,Senegal,Delantero|Mediocampista lateral,27,Bueno,Abdoulaye Sané
SK Rapid Wien ,Greece,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,24,Bueno,Taxiarchis Fountas
Hamburger SV ,Germany,Defensa lateral|Mediocampista defensivo|Mediocampista central,24,Bueno,Jeremy Dudziak
Servette FC ,Bosnia & Herzegovina,Mediocampista lateral|Mediocampista central,30,Bueno,Miroslav Stevanovic
Liverpool Fútbol Club ,Argentina,Delantero|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),29,Bueno,Joel Acosta
Malmö FF ,Sweden,Delantero,28,Bueno,Isaac Kiese Thelin
Barnsley ,England,Delantero|Mediocampista ofensivo,25,Bueno,Cauley Woodrow
Kaizer Chiefs ,South Africa,Defensa central,30,Bueno,Eric Mathoho
KSV Cercle Brugge ,Hungary,Delantero,28,Bueno,Márton Eppel
Portimonense SC ,Brazil,Delantero|Mediocampista central|Extremo (Extremo derecho),28,Bueno,Dener
UD Las Palmas ,Spain,Defensa lateral|Mediocampista lateral,27,Bueno,Álvaro Lemos
Marítimo ,Portugal,Defensa lateral (lateral derecha),30,Bueno,Rúben Ferreira
Newell's Old Boys ,São Tomé & Príncipe,Delantero|Mediocampista lateral,33,Bueno,Luís Leal
Cremona ,Italy,Defensa lateral|Defensa central,27,Bueno,Matteo Bianchetti
CFR Cluj ,Ivory Coast,Defensa central,29,Bueno,Kévin Boli
Sporting CP ,Portugal,Defensa central,27,Bueno,Tiago Ilori
Ettifaq FC ,Slovakia,Defensa central|Mediocampista defensivo|Mediocampista central,29,Bueno,Filip Kiss
CD Tenerife ,Spain,Portero,26,Bueno,Adrián Ortolá
SG Dynamo Dresden ,Czech Republic,Mediocampista defensivo|Mediocampista central,28,Bueno,Ondrej Petrák
RC Deportivo ,Senegal,Defensa central,29,Bueno,Abdoulaye Ba
Queens Park Rangers ,England,Defensa central,28,Bueno,Grant Hall
Middlesbrough ,Northern Ireland,Mediocampista central,27,Bueno,George Saville
Monarcas Morelia ,Ecuador,Defensa central,35,Bueno,Gabriel Achilier
RCD Mallorca ,North Macedonia,Delantero|Mediocampista ofensivo|Delantero central,27,Bueno,Aleksandar Trajkovski
En Avant Guingamp ,France,Defensa central,33,Bueno,Christophe Kerbrat
Royal Antwerp FC ,Belgium,Delantero,26,Bueno,Zinho Gano
SV Darmstadt 98 ,Germany,Mediocampista defensivo,29,Bueno,Yannick Stark
Konyaspor ,Denmark,Defensa central|Mediocampista defensivo,27,Bueno,Jens Jønsson
Free Agents ,South Africa,Portero,30,Bueno,Darren Keet
San Lorenzo de Almagro ,Argentina,Defensa central,31,Bueno,Santiago Vergini
Le Mans FC ,lbania,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,27,Bueno,Frédéric Veseli
FC Paços de Ferreira ,Brazil,Delantero,28,Bueno,Welthon
West Bromwich Albion ,England,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),27,Bueno,Conor Townsend
Athlétic Club Ajaccio ,France,Delantero,31,Bueno,Gaëtan Courtet
Pescara ,Italy,Delantero|Delantero central|Extremo (Extremo derecho),29,Bueno,Cristian Galano
Jeju United FC ,Cyprus,Defensa central|Mediocampista defensivo,30,Bueno,Valentinos Sielis
Legia Warszawa ,Poland,Mediocampista lateral,28,Bueno,Pawel Wszolek
Melbourne Victory ,Australia,Portero,28,Bueno,Lawrence Thomas
Blackburn Rovers ,Republic of Ireland,Defensa lateral (lateral derecha)|Defensa central,27,Bueno,Derrick Williams
Molde FK ,Norway,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Bueno,Eirik Ulland Andersen
New York City FC ,Brazil,Delantero|Delantero central,28,Bueno,Héber
LASK Linz ,Croatia,Defensa central,29,Bueno,Petar Filipovic
FC Seoul ,Korea Republic,Portero,28,Bueno,Yang Han Been
Montpellier Hérault SC ,Korea Republic,Delantero|Mediocampista lateral (Mediocampista derecho),28,Bueno,Yun Il Lok
Fulham ,DR Congo,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo|Extremo (Extremo izquierdo),28,Bueno,Neeskens Kebano
Livorno ,Italy,Mediocampista defensivo|Mediocampista central,28,Bueno,Federico Viviani
Kristiansund BK ,Republic of Ireland,Portero,27,Bueno,Sean McDermott
RCD Mallorca ,Spain,Delantero|Extremo (Extremo izquierdo),27,Bueno,Abdón Prats
Hibernian ,Republic of Ireland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Bueno,Daryl Horgan
Independiente Santa Fe ,Venezuela,Mediocampista ofensivo|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),29,Bueno,Yohandry Orozco
FC Utrecht ,France,Delantero|Extremo (Extremo izquierdo),27,Bueno,Jean-Christophe Bahebeck
SK Sturm Graz ,Austria,Delantero|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),29,Bueno,Thorsten Röcher
FC Twente ,Spain,Mediocampista central|Mediocampista ofensivo,27,Bueno,Javier Espinosa
LA Galaxy ,United States,Portero,30,Bueno,David Bingham
Hamburger SV ,United States,Delantero,27,Bueno,Bobby Wood
Al Faisaly ,Brazil,Delantero,28,Bueno,William
Central Coast Mariners ,Korea Republic,Defensa central|Mediocampista defensivo,32,Bueno,Kim Eun Sun
1. FC Union Berlin ,Germany,Mediocampista lateral|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),28,Bueno,Akaki Gogia
Newcastle Jets ,Australia,Mediocampista lateral|Mediocampista ofensivo,27,Bueno,Dimitri Petratos
Houston Dynamo ,Puerto Rico,Defensa lateral|Defensa lateral (lateral derecha),28,Bueno,Zarek Valentin
Atlético Tucumán ,Argentina,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),32,Bueno,José Luis Fernández
FC Basel 1893 ,Sweden,Defensa central,27,Bueno,Emil Bergström
CD Numancia ,Spain,Mediocampista defensivo|Mediocampista central,29,Bueno,Erik Morán
Derby County ,England,Defensa lateral|Defensa central,27,Bueno,Andre Wisdom
New England Revolution ,Uruguay,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,25,Bueno,Diego Fagundez
Chiavari ,Spain,Delantero,28,Bueno,Alejandro Rodríguez
Sporting Kansas City ,Hungary,Defensa central,28,Bueno,Botond Baráth
Free Agents ,Hungary,Defensa lateral (lateral derecha),31,Bueno,Mihály Korhut
Brescia ,Italy,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),27,Bueno,Bruno Martella
Extremadura UD ,Spain,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,31,Bueno,Kike Márquez
Huddersfield Town ,DR Congo,Delantero|Mediocampista lateral|Extremo (Extremo derecho),28,Bueno,Elias Kachunga
FC Luzern ,Brazil,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),27,Bueno,Ryder Matos
Ascoli ,Italy,Portero,27,Bueno,Nicola Leali
Empoli ,Italy,Delantero,29,Bueno,Andrea La Mantia
Gazisehir Gaziantep Futbol Kulübü ,Poland,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),27,Bueno,Bartlomiej Pawlowski
Nottingham Forest ,England,Defensa lateral,28,Bueno,Carl Jenkinson
Fulham ,Republic of Ireland,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),27,Bueno,Cyrus Christie
Fenerbahçe SK ,Turkey,Mediocampista defensivo|Mediocampista lateral (Mediocampista derecho)|Mediocampista central,28,Bueno,Tolga Cigerci
Stoke City ,Wales,Portero,28,Bueno,Adam Davies
Guangzhou Evergrande Taobao FC ,China PR,Defensa lateral|Defensa central,31,Bueno,Zhang Linpeng
Stoke City ,England,Mediocampista ofensivo|Extremo (Extremo derecho),28,Bueno,Tom Ince
Sanfrecce Hiroshima ,Brazil,Delantero|Delantero central,32,Bueno,Douglas Vieira
FC Groningen ,Netherlands,Defensa lateral|Defensa central,28,Bueno,Mike te Wierik
Santa Clara ,Portugal,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),31,Bueno,Diogo Salomão
Bristol City ,England,Mediocampista lateral (Mediocampista derecho)|Mediocampista central|Mediocampista ofensivo,28,Bueno,Jamie Paterson
AS Saint-Étienne ,Switzerland,Defensa central,28,Bueno,Léo Lacroix
FC St. Pauli ,Poland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),33,Bueno,Waldemar Sobota
Pogon Szczecin ,Poland,Mediocampista defensivo|Mediocampista central,28,Bueno,Kamil Drygas
Havre Athletic Club ,France,Portero,29,Bueno,Mathieu Gorgelin
UD Las Palmas ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),31,Bueno,Aridai
Guadalajara ,Mexico,Defensa lateral|Defensa central,30,Bueno,Hiram Mier
Club Tijuana ,Mexico,Delantero|Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),29,Bueno,Ángel Sepúlveda
Alanyaspor ,Turkey,Mediocampista defensivo|Mediocampista central,27,Bueno,Musa Çagiran
Vitesse ,Greece,Portero,28,Bueno,Konstantinos Lamprou
Stoke City ,Netherlands,Defensa lateral (lateral derecha)|Defensa central,28,Bueno,Bruno Martins Indi
CD Tenerife ,Spain,Delantero|Mediocampista ofensivo,29,Bueno,Joselu
1. FC Heidenheim 1846 ,Germany,Defensa central,29,Bueno,Timo Beermann
Brentford ,South Africa,Mediocampista defensivo|Mediocampista central,29,Bueno,Kamohelo Mokotjo
CD Tondela ,Portugal,Defensa central,32,Bueno,Yohan Tavares
Sheffield United ,England,Defensa central|Extremo|Extremo (Extremo izquierdo),26,Bueno,Jack Robinson
CD Cobresal ,Paraguay,Delantero central,31,Bueno,Rodolfo Gamarra
FC St. Pauli ,Germany,Defensa central,28,Bueno,Christopher Avevor
Sunderland ,Australia,Defensa lateral|Defensa central,28,Bueno,Bailey Wright
Charlton Athletic ,Wales,Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,26,Bueno,Jonathan Williams
Guadalajara ,Mexico,Defensa lateral,30,Bueno,José Antonio Madueña
LA Galaxy ,United States,Mediocampista defensivo|Mediocampista central,30,Bueno,Joe Corona
VfL Bochum 1848 ,Costa Rica,Defensa lateral,30,Bueno,Cristian Gamboa
Millwall ,Wales,Delantero,28,Bueno,Tom Bradshaw
Hammarby IF ,Sweden,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo derecho),28,Bueno,Alexander Kacaniklic
Club Atlético Banfield ,Argentina,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),34,Bueno,Sebastián Dubarbier
Bristol City ,England,Portero,27,Bueno,Daniel Bentley
AEK Athens ,Argentina,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,28,Bueno,Sergio Araujo
Kayserispor ,Tunisia,Defensa central,30,Bueno,Aymen Abdennour
Dinamo Zagreb ,Switzerland,Defensa lateral (lateral derecha)|Defensa central|Extremo|Extremo (Extremo izquierdo),30,Bueno,François Moubandje
Motherwell ,England,Portero,28,Bueno,Mark Gillespie
Wigan Athletic ,Egypt,Mediocampista defensivo|Mediocampista central,28,Bueno,Sam Morsy
SV Sandhausen ,Croatia,Defensa central|Mediocampista defensivo|Mediocampista central,29,Bueno,Ivan Paurevic
R. Oviedo ,Spain,Defensa central,31,Bueno,Arribas
Futebol Clube de Famalicão ,Portugal,Defensa lateral,30,Bueno,Ivo Pinto
Sampdoria ,Italy,Portero,30,Bueno,Andrea Seculin
FC Erzgebirge Aue ,Germany,Mediocampista central,29,Bueno,Clemens Fandrich
Sporting Charleroi ,Senegal,Mediocampista defensivo|Mediocampista central,29,Bueno,Christophe Diandy
Stoke City ,England,Defensa central,29,Bueno,Danny Batth
Cusco Fútbol Club ,Paraguay,Defensa central|Mediocampista defensivo|Mediocampista central,33,Bueno,Miguel Ángel Paniagua
La Berrichonne de Châteauroux ,France,Mediocampista lateral|Mediocampista central,32,Bueno,Romain Grange
RC Deportivo ,Spain,Mediocampista lateral,28,Bueno,Keko
KAS Eupen ,Zimbabwe,Delantero|Delantero central|Extremo (Extremo izquierdo),30,Bueno,Knowledge Musona
Antalyaspor ,Turkey,Defensa lateral|Defensa central,32,Bueno,Veysel Sari
Luton Town ,Republic of Ireland,Delantero,29,Bueno,James Collins
Bristol City ,England,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),29,Bueno,Jack Hunt
VfL Osnabrück ,Poland,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,29,Bueno,David Blacha
Cádiz CF ,Spain,Mediocampista defensivo|Mediocampista central,28,Bueno,Edu Ramos
Aarhus AGF ,Sweden,Defensa central,31,Bueno,Niklas Backman
Parma ,Italy,Defensa lateral (lateral derecha)|Defensa central,29,Bueno,Vasco Regini
Legia Warszawa ,Lithuania,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),29,Bueno,Arvydas Novikovas
Gimnasia y Esgrima La Plata ,Argentina,Defensa central,31,Bueno,Maximiliano Coronel
Seattle Sounders FC ,Netherlands,Defensa lateral|Defensa lateral (lateral derecha),30,Bueno,Kelvin Leerdam
Rosario Central ,Argentina,Defensa central,35,Bueno,Diego Novaretti
Alanyaspor ,England,Defensa central,28,Bueno,Steven Caulker
Belenenses ,Portugal,Mediocampista defensivo|Mediocampista central,31,Bueno,André Santos
ESTAC Troyes ,Senegal,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),30,Bueno,Pape Souaré
Odds BK ,Norway,Delantero,28,Bueno,Torgeir Børven
Rosario Central ,Argentina,Extremo|Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),30,Bueno,Nicolás Colazo
Western United FC ,Poland,Portero,29,Bueno,Filip Kurto
Dinamo Zagreb ,Croatia,Defensa lateral (lateral derecha)|Mediocampista lateral (Mediocampista derecho),31,Bueno,Marin Leovac
Stade Malherbe Caen ,France,Delantero|Extremo (Extremo derecho),28,Bueno,Benjamin Jeannot
FC Augsburg ,Germany,Portero,30,Bueno,Fabian Giefer
Derby County ,England,Defensa lateral (lateral derecha),29,Bueno,Scott Malone
Melbourne Victory ,Ivory Coast,Defensa lateral (lateral derecha),30,Bueno,Adama Traoré
Futebol Clube de Famalicão ,Portugal,Defensa central,29,Bueno,Roderick Miranda
San Jose Earthquakes ,Georgia,Defensa central,33,Bueno,Guram Kashia
Hannover 96 ,Germany,Defensa lateral|Mediocampista lateral,30,Bueno,Sebastian Jung
SV Sandhausen ,Germany,Defensa central,28,Bueno,Gerrit Nauber
ADO Den Haag ,England,Mediocampista central|Mediocampista ofensivo,34,Bueno,Mark Duffy
Boavista FC ,Nigeria,Mediocampista defensivo|Mediocampista central,29,Bueno,Nwankwo Obiora
Birmingham City ,England,Mediocampista defensivo|Mediocampista central,28,Bueno,Gary Gardner
Aston Villa ,England,Portero,27,Bueno,Jed Steer
Sydney FC ,Australia,Defensa lateral,29,Bueno,Rhyan Grant
RC Deportivo ,Spain,Defensa lateral|Defensa central|Mediocampista lateral,31,Bueno,Bóveda
Club Atlas ,Mexico,Mediocampista lateral,30,Bueno,Jesús Isijara
Stabæk Fotball ,Sweden,Portero,29,Bueno,Marcus Sandberg
Al Faisaly ,Trinidad & Tobago,Mediocampista defensivo,31,Bueno,Khaleem Hyland
Sheffield Wednesday ,England,Delantero,27,Bueno,Connor Wickham
1. FC Union Berlin ,Germany,Mediocampista defensivo|Mediocampista central,29,Bueno,Felix Kroos
Aston Villa ,Egypt,Lateral (lateral izquierdo)|Defensa lateral|Mediocampista lateral|Extremo (Extremo derecho),32,Bueno,Ahmed Elmohamady
Sanfrecce Hiroshima ,Brazil,Delantero|Mediocampista lateral|Mediocampista ofensivo,29,Bueno,Rhayner
R. Oviedo ,Spain,Delantero,29,Bueno,Ortuño
SG Dynamo Dresden ,Germany,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),29,Bueno,Marco Terrazzino
Deportivo Toluca ,Argentina,Defensa central,30,Bueno,Gastón Sauro
Venezia ,Argentina,Mediocampista central,29,Bueno,Franco Zuculini
Sporting Kansas City ,United States,Defensa lateral,33,Bueno,Graham Zusi
Toulouse Football Club ,Norway,Defensa central,28,Bueno,Ruben Gabrielsen
RCD Mallorca ,Spain,Mediocampista defensivo|Mediocampista central,33,Bueno,Marc Pedraza
Pisa ,Austria,Mediocampista defensivo|Mediocampista central,29,Bueno,Robert Gucher
AJ Auxerre ,Serbia,Delantero,30,Bueno,Dejan Sorgic
Sport-Club Freiburg ,France,Mediocampista lateral,30,Bueno,Yoric Ravet
Motherwell ,Scotland,Defensa lateral|Defensa lateral (lateral derecha),30,Bueno,Richard Tait
Al Wehda ,Brazil,Defensa central,30,Bueno,Renato Chaves
SPAL ,Poland,Defensa central,29,Bueno,Bartosz Salamon
Barcelona Guayaquil ,Argentina,Mediocampista lateral|Mediocampista ofensivo,34,Bueno,Damián Díaz
Parma ,Italy,Portero,29,Bueno,Simone Colombi
Hertha BSC ,Germany,Delantero|Mediocampista lateral,30,Bueno,Alexander Esswein
Çaykur Rizespor ,Turkey,Mediocampista lateral|Mediocampista ofensivo,30,Bueno,Tunay Torun
Gimnasia y Esgrima La Plata ,Argentina,Defensa lateral,32,Bueno,Maximiliano Caire
Elche CF ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),30,Bueno,Fidel
Burton Albion ,Scotland,Mediocampista lateral (Mediocampista derecho)|Extremo (Extremo izquierdo),30,Bueno,Jamie Murphy
Stade Brestois 29 ,France,Defensa lateral,33,Bueno,Gaëtan Belaud
Parma ,Italy,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),32,Bueno,Luca Siligardi
AD Alcorcón ,Spain,Defensa lateral,35,Bueno,Laure
R. Sporting ,Spain,Defensa central,33,Bueno,Marc Valiente
Neuchâtel Xamax FCS ,Ivory Coast,Mediocampista defensivo|Mediocampista central,35,Bueno,Serey Dié
Middlesbrough ,England,Defensa lateral (lateral derecha)|Defensa central|Extremo|Extremo (Extremo izquierdo),32,Bueno,George Friend
ADO Den Haag ,Netherlands,Mediocampista central|Mediocampista ofensivo,34,Bueno,Lex Immers
Vegalta Sendai ,Mozambique,Defensa central,32,Bueno,Simao Mate
LAFC ,Norway,Delantero|Mediocampista lateral (Mediocampista derecho),30,Bueno,Adama Diomande
Kayserispor ,Ukraine,Delantero|Mediocampista ofensivo,31,Bueno,Artem Kravets
Rosenborg BK ,Norway,Mediocampista defensivo|Mediocampista central,30,Bueno,Anders Konradsen
FC Emmen ,Netherlands,Delantero|Mediocampista ofensivo,31,Bueno,Anco Jansen
Arka Gdynia ,Latvia,Portero,34,Bueno,Pavels Šteinbors
Aberdeen ,Northern Ireland,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),33,Bueno,Niall McGinn
Chicago Fire Soccer Club ,United States,Portero,34,Bueno,Kenneth Kronholm
UD Las Palmas ,Spain,Portero,32,Bueno,Raúl Fernández
Queens Park Rangers ,United States,Defensa central|Mediocampista defensivo,35,Bueno,Geoff Cameron
SD Ponferradina ,Spain,Portero,36,Bueno,René
Middlesbrough ,England,Mediocampista defensivo|Mediocampista central,31,Bueno,Adam Clayton
Aston Villa ,England,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,29,Bueno,Henri Lansbury
Rosenborg BK ,Norway,Defensa central,31,Bueno,Even Hovland
Fulham ,Belgium,Defensa lateral|Defensa central,32,Bueno,Denis Odoi
Portland Timbers ,United States,Defensa lateral (lateral derecha),30,Bueno,Jorge Villafaña
Sheffield Wednesday ,Scotland,Delantero,30,Bueno,Jordan Rhodes
Crotone ,Italy,Delantero|Mediocampista lateral|Extremo (Extremo derecho),31,Bueno,Mattia Mustacchio
Helsingborgs IF ,Sweden,Defensa lateral (lateral derecha)|Extremo|Extremo (Extremo izquierdo),32,Bueno,Martin Olsson
R. Oviedo ,Spain,Mediocampista defensivo|Mediocampista central,30,Bueno,Sergio Tejera
Nottingham Forest ,England,Mediocampista defensivo|Mediocampista central,28,Bueno,John Bostock
Trapani ,France,Delantero|Extremo (Extremo derecho)|Extremo (Extremo izquierdo),32,Bueno,Jonathan Biabiany
AIK ,Iceland,Delantero,30,Bueno,Kolbeinn Sig?órsson
Club Nacional de Football ,Argentina,Mediocampista defensivo|Mediocampista central,33,Bueno,Claudio Yacob
US Orléans Loiret Football ,France,Delantero|Mediocampista lateral (Mediocampista derecho)|Mediocampista ofensivo,31,Bueno,Yohan Mollo
LASK Linz ,Austria,Defensa central,31,Bueno,Christian Ramsebner
FC Erzgebirge Aue ,Germany,Defensa central,33,Bueno,Sören Gonther
Swansea City ,Netherlands,Portero,31,Bueno,Erwin Mulder
Stade Malherbe Caen ,Congo,Mediocampista defensivo|Mediocampista central,31,Bueno,Prince Oniangué
Nottingham Forest ,Tunisia,Defensa central,33,Bueno,Yohan Benalouane
Newcastle United ,Senegal,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,29,Bueno,Henri Saivet
Kilmarnock ,Republic of Ireland,Mediocampista defensivo|Mediocampista central,32,Bueno,Alan Power
Karlsruher SC ,Jamaica,Defensa central,35,Bueno,Daniel Gordon
FC Erzgebirge Aue ,Germany,Portero,32,Bueno,Martin Männel
Guangzhou Evergrande Taobao FC ,China PR,Defensa lateral (lateral derecha),31,Bueno,Li Xuepeng
Melbourne Victory ,Australia,Extremo (Extremo derecho)|Extremo (Extremo izquierdo),31,Bueno,Robbie Kruse
Nagoya Grampus ,Australia,Portero,31,Bueno,Mitchell Langerak
Shandong Luneng TaiShan FC ,China PR,Portero,31,Bueno,Wang Dalei
Millwall ,Republic of Ireland,Mediocampista defensivo|Mediocampista central,33,Bueno,Shaun Williams
Kawasaki Frontale ,Japan,Mediocampista ofensivo,39,Bueno,Kengo Nakamura
Huddersfield Town ,England,Defensa central,32,Bueno,Tommy Elphick
Alanyaspor ,Turkey,Mediocampista defensivo|Mediocampista central,32,Bueno,Ceyhun Gülselam
Daegu FC ,Brazil,Delantero|Extremo (Extremo derecho),33,Bueno,Edgar
Vitória Setúbal ,Portugal,Defensa lateral (lateral derecha),33,Bueno,Nuno Pinto
Universidad de Chile ,Argentina,Delantero,35,Bueno,Joaquín Larrivey
Stoke City ,Wales,Delantero,30,Bueno,Sam Vokes
Club Alianza Lima ,Peru,Mediocampista central|Mediocampista ofensivo,35,Bueno,Rinaldo Cruzado
Dinamo Zagreb ,Switzerland,Delantero|Mediocampista ofensivo|Delantero central,30,Bueno,Mario Gavranovic
Konyaspor ,Turkey,Defensa central,32,Bueno,Ugur Demirok
Cremona ,Italy,Delantero,34,Bueno,Daniel Ciofani
Livorno ,Italy,Mediocampista defensivo|Mediocampista central,35,Bueno,Andrea Luci
Al Raed ,Cameroon,Mediocampista lateral (Mediocampista derecho)|Mediocampista central,31,Bueno,Arnaud Djoum
Cosenza ,Italy,Mediocampista defensivo|Mediocampista central,34,Bueno,Mirko Bruccini
Perugia ,Italy,Defensa lateral|Defensa central|Mediocampista lateral,33,Bueno,Aleandro Rosi
KV Kortrijk ,Belgium,Defensa central,33,Bueno,Timothy Derijck
CD Tenerife ,Spain,Mediocampista lateral,35,Bueno,Suso Santana
Stade Brestois 29 ,France,Defensa lateral (lateral derecha),34,Bueno,Ludovic Baal
Fortuna Düsseldorf ,Poland,Defensa central|Mediocampista defensivo,34,Bueno,Adam Bodzek
Gençlerbirligi SK ,Sweden,Defensa central,34,Bueno,Mattias Bjärsmyr
KAS Eupen ,Germany,Lateral (lateral izquierdo)|Defensa lateral|Extremo (Extremo derecho),33,Bueno,Andreas Beck
Junior FC ,Colombia,Delantero,36,Bueno,Carmelo Valencia
Ulsan Hyundai Horang-i ,Korea Republic,Delantero|Mediocampista ofensivo,35,Bueno,Lee Keun Ho
LA Galaxy ,United States,Mediocampista central|Mediocampista ofensivo,34,Bueno,Sacha Kljestan
Houston Dynamo ,Honduras,Defensa lateral (lateral derecha)|Defensa central,37,Bueno,Maynor Figueroa
Independiente del Valle ,Panama,Delantero,31,Bueno,Gabriel Torres
CD Everton de Viña del Mar ,Chile,Portero,39,Bueno,Johnny Herrera
Aston Villa ,Wales,Defensa lateral (lateral derecha),31,Bueno,Neil Taylor
U.N.A.M. ,Mexico,Mediocampista lateral|Extremo (Extremo derecho),33,Bueno,Pablo Barrera
CD O'Higgins ,Argentina,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,35,Bueno,Ramón Fernández
Empoli ,Italy,Defensa lateral (lateral derecha),33,Bueno,Luca Antonelli
Brescia ,Italy,Mediocampista defensivo|Mediocampista central,33,Bueno,Daniele Dessena
Parma ,Italy,Mediocampista defensivo|Mediocampista central,32,Bueno,Matteo Scozzarella
Havre Athletic Club ,France,Mediocampista lateral (Mediocampista derecho),33,Bueno,Alexandre Bonnet
Western United FC ,Greece,Mediocampista central|Mediocampista ofensivo|Delantero central,33,Bueno,Panagiotis Kone
AZ ,Netherlands,Defensa central,32,Bueno,Ramon Leeuwin
Brescia ,Italy,Portero,32,Bueno,Enrico Alfonso
AD Alcorcón ,Spain,Defensa central,35,Bueno,David Fernández
Vitória Setúbal ,Portugal,Mediocampista defensivo,35,Bueno,José Semedo
AS Saint-Étienne ,France,Portero,34,Bueno,Jessy Moulin
Tiburones Rojos de Veracruz ,Argentina,Mediocampista defensivo|Mediocampista central|Mediocampista ofensivo,35,Bueno,Gabriel Peñalba
Crotone ,Argentina,Defensa central,37,Bueno,Nicolás Spolli
FC Utrecht ,Netherlands,Defensa central|Mediocampista defensivo|Mediocampista central,34,Bueno,Urby Emanuelson
Birmingham City ,DR Congo,Mediocampista lateral (Mediocampista derecho),32,Bueno,Jacques Maghoma
Huddersfield Town ,England,Defensa lateral,33,Bueno,Danny Simpson
Stade Malherbe Caen ,France,Portero,32,Bueno,Rémy Riou
SD Ponferradina ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),32,Bueno,Omar Ramos
KAS Eupen ,Bosnia & Herzegovina,Mediocampista central|Mediocampista ofensivo|Delantero central,34,Bueno,Danijel Milicevic
Club Alianza Lima ,Peru,Defensa central,36,Bueno,Alberto Rodríguez
Rionegro Águilas ,Colombia,Mediocampista central|Mediocampista ofensivo,39,Bueno,Aldo Ramírez
R. Sporting ,Spain,Mediocampista lateral|Mediocampista lateral (Mediocampista derecho),33,Bueno,Carmona
En Avant Guingamp ,France,Defensa central,36,Bueno,Jérémy Sorbon
Racing Club de Lens ,France,Mediocampista defensivo|Mediocampista central,35,Bueno,Yannick Cahuzac
Cruz Azul ,Mexico,Defensa lateral (lateral derecha),32,Bueno,Adrián Aldrete
R. Sporting ,Spain,Defensa lateral|Defensa lateral (lateral derecha)|Defensa central,35,Bueno,Molinero
Kasimpasa SK ,France,Defensa lateral (lateral derecha),35,Bueno,Olivier Veigneau
Göztepe SK ,England,Delantero,33,Bueno,Cameron Jerome
Stoke City ,Australia,Portero,35,Bueno,Adam Federici
Melbourne Victory ,Germany,Defensa central|Mediocampista defensivo,35,Bueno,Tim Hoogland
