Year;Month;Day;Flag Tsunami;Flag Earthquake;Volcano Name;Location;Country;Elevation;Volcano Type;Status;Volcanic Explosivity Index;Volcano : Deaths;Volcano : Deaths Description;Volcano : Missing;Volcano : Missing Description;Volcano : Injuries;Volcano : Injuries Description;Volcano : Damage (in M$);Volcano : Damage Description;Volcano : Houses destroyed;Volcano : Houses destroyed Description;Total Effects : Deaths;Total Effects : Deaths Description;Total Effects : Missing;Total Effects : Missing Description;Total Effects : Injuries;Total Effects : Injuries Description;Total Effects : Damages in million Dollars;Total Effects : Damage Description;Total Effects : Houses Destroyed;Total Effects : Houses Destroyed Description;Coordinates;Earthquakes : Houses damaged Description;Total Effects : Houses Damaged Description
1872;04;15;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;4;30;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;50;Few (~1 to 50 houses);30;Few (~1 to 50 deaths);;;;Few (~1 to 50 deaths);;;50;Few (~1 to 50 houses);-7.542,110.442;;
1884;02;;Tsunami;;Krakatau;Indonesia;Indonesia;813;Caldera;Historical;;;;;;;;;;;;;;;;;;;;;;-6.102,105.423;;
1888;03;13;Tsunami;;Ritter Island;New Guinea-NE of;Papua New Guinea;140;Stratovolcano;Historical;3;;;;;;;;;;;;Very Many (~1001 or more deaths);;;;;;SEVERE (~>$5 to $24 million);;Many (~101 to 1000 houses);-5.52,148.121;;
1888;07;15;;;Bandai;Honshu-Japan;Japan;1819;Stratovolcano;Historical;4;461;Many (~101 to 1000 deaths);;;70.0;Some (~51 to 100 deaths);;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);461;Many (~101 to 1000 deaths);;;70.0;Some (~51 to 100 deaths);;MODERATE (~$1 to $5 million);;Some (~51 to 100 houses);37.6,140.08;;
1913;06;23;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-8.108,112.92;;
1916;03;03;;;Tungurahua;Ecuador;Ecuador;5023;Stratovolcano;Historical;4;;;;;;;;;;;;;;;;;;;;;-1.467,-78.442;;
1920;07;25;;;Merapi;Java;Indonesia;2947;Stratovolcano;Historical;3;33;Few (~1 to 50 deaths);;;;;;;;;33;Few (~1 to 50 deaths);;;;;;;;;-7.542,110.442;;
1946;10;29;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;2;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;;;;;;;;LIMITED (roughly corresponding to less than $1 million);;;-8.108,112.92;;
1948;04;07;;;Iliwerung;Lesser Sunda Is;Indonesia;1018;Complex volcano;Historical;2;;;;;;;;MODERATE (~$1 to $5 million);;;;;;;;;;MODERATE (~$1 to $5 million);;;-8.54,123.59;;
1950;09;15;;;Camiguin;Mindanao-Philippines;Philippines;1332;Stratovolcano;Historical;3;68;Some (~51 to 100 deaths);;;;;;;;;68;Some (~51 to 100 deaths);;;;;;;;;9.203,124.673;;
1950;09;23;;;Asama;Honshu-Japan;Japan;2560;Complex volcano;Historical;2;1;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;Few (~1 to 50 houses);1;Few (~1 to 50 deaths);;;1.0;Few (~1 to 50 deaths);;;;Few (~1 to 50 houses);36.4,138.53;;
1951;08;03;Tsunami;Earthquake;Cosiguina;Nicaragua;Nicaragua;872;Stratovolcano;Historical;;;;;;;;;;;;;;;;;;;SEVERE (~>$5 to $24 million);;Some (~51 to 100 houses);12.98,-87.57;;
1956;03;30;Tsunami;;Bezymianny;Kamchatka;Russia;2882;Stratovolcano;Historical;5;;;;;;;;;;;;;;;;;;;;;55.978,160.587;;
1958;10;07;Tsunami;;Kuwae;Vanuatu-SW Pacific;Vanuatu;-2;Caldera;Historical;2;;;;;;;;;;;;;;;;;;;;;-16.829,168.536;;
1967;08;31;;;Semeru;Java;Indonesia;3676;Stratovolcano;Historical;3;3;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;3;Few (~1 to 50 deaths);;;;;;LIMITED (roughly corresponding to less than $1 million);;;-8.108,112.92;;
