Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Action, Adventure, Science Fiction",en,2021-12-15,8.3,discover; dangerous; unmasked,Spider-Man: No Way Home
"Crime, Mystery, Thriller",en,2022-03-01,8.1,corruption; gotham; known,The Batman
Thriller,en,2022-02-25,6.3,stranded; sets; belonging,No Exit
"Animation, Comedy, Family, Fantasy",en,2021-11-24,7.7,last; gift; vibrant,Encanto
"Action, Adventure, Thriller, War",en,2021-12-22,7.0,stop; worst; wipe,The King's Man
"Action, Crime, Thriller",en,2022-01-07,6.6,money; agent; moneyhungry,The Commando
"Horror, Mystery, Thriller",en,2022-01-12,6.8,secrets; quiet; brutal,Scream
Thriller,en,2022-02-10,6.3,met; tries; most:,Kimi
"Action, Crime, Fantasy",en,2022-02-17,5.3,tracks; revenge; bangkok,Fistful of Vengeance
Science Fiction,en,2021-11-03,7.2,ancient; aliens; ancient,Eternals
"Action, Crime, Thriller",en,2022-02-18,5.9,prisoner; crosses; ruthless,Pursuit
"Animation, Action, Fantasy, Adventure",ja,2021-08-06,7.3,future; theory; form,My Hero Academia: World Heroes' Mission
"Action, Thriller, Crime",fr,2022-02-25,5.9,spirals; going; control,Restless
"Crime, Drama, Thriller",en,2021-12-02,7.1,ambitious; few; than,Nightmare Alley
"Animation, Comedy, Adventure, Family",en,2022-01-28,7.1,fearless; buck's; off,The Ice Age Adventures of Buck Wild
"Animation, Family, Fantasy, Comedy, Adventure",en,2022-02-25,7.0,across; invention; each,Hotel Transylvania: Transformania
Horror,en,2022-02-18,5.1,mask; wears; ghost,Texas Chainsaw Massacre
Thriller,en,2022-01-28,4.6,circle; getaway; storm,The Requin
"Action, Comedy, Crime",hi,2022-02-04,6.0,boyfriend; races; loses,Looop Lapeta
"Action, Comedy, Crime, Thriller",en,2021-11-04,6.8,fbi's; together; red,Red Notice
"Animation, Comedy, Family, Music",en,2021-12-01,8.2,run; crystal; idea,Sing 2
Horror,en,2022-01-03,5.4,see; illness; deal,The Jack in the Box: Awakening
"Science Fiction, Action, Adventure",en,2021-09-30,7.1,finding; investigative; eddie,Venom: Let There Be Carnage
"Science Fiction, Action, Adventure",en,2021-12-16,6.8,neo's; turn; matrix,The Matrix Resurrections
"Horror, Action, Science Fiction",en,2021-11-24,6.1,corporation; uncover; city,Resident Evil: Welcome to Raccoon City
"Action, Thriller",en,2021-10-19,6.3,involved; he's; hermit,Last Man Down
"Action, Thriller, Crime, Drama",en,2022-01-07,5.4,georgia; rural; small,American Siege
"Action, Adventure",en,2022-02-10,7.1,also; longlost; found”,Uncharted
"Animation, Action, Adventure, Fantasy",ja,2020-10-16,8.4,rengoku; tormenting; head,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train
"Fantasy, Comedy, Adventure",en,2021-11-11,7.7,begin; mom; kids,Ghostbusters: Afterlife
"Action, Thriller",en,2022-01-05,6.1,german; agencies; american,The 355
"Action, Adventure, Fantasy",en,2021-09-01,7.7,behind; organization; shangchi,Shang-Chi and the Legend of the Ten Rings
"Romance, Comedy, Music",en,2022-02-09,6.9,crowd; bastian; unfaithful,Marry Me
Horror,en,2022-01-21,5.8,uncover; forest; threatens,The Hunting
"Drama, Romance, Crime",en,2021-12-08,7.4,respective; toward; gangs,West Side Story
"Romance, Drama",es,2022-02-04,7.8,something; raquel's; family's,Through My Window
"Animation, Fantasy",ja,2021-07-02,8.0,demons; king; sin,The Seven Deadly Sins: Cursed by Light
Action,en,2021-11-05,6.8,black; prisoner; site,One Shot
"Animation, Comedy, Family, Western",en,2022-01-24,7.1,desperado; cowgirl; varmints,Tom and Jerry: Cowboy Up!
"Drama, History, Adventure",ru,2020-10-15,6.2,prevent; disaster; even,Chernobyl: Abyss
"Western, Action",en,2022-02-25,6.8,men; billy; ride,Desperate Riders
"Family, Adventure, Comedy, Fantasy",en,2021-11-10,7.3,casey; emily; unconditional,Clifford the Big Red Dog
Comedy,en,2022-02-25,6.7,madea's; hallelujer!; drama,Tyler Perry's A Madea Homecoming
"Animation, Comedy, Adventure, Family",en,2021-07-01,7.6,templeton; —; cando,The Boss Baby: Family Business
"Animation, Family, Comedy, Fantasy",en,2022-03-10,8.6,awkwardness; panda; twist,Turning Red
"Thriller, Mystery, Drama",en,2022-01-13,4.8,writer; comes; mystery,Brazen
"Animation, Drama, Comedy, Horror",en,2022-01-14,7.1,poor; house; anxious,The House
"Action, Thriller",en,2022-02-10,5.1,echelons; agent; reaches,Blacklight
"Animation, Science Fiction, Family, Comedy",en,2021-10-15,8.1,best; quite; robot,Ron's Gone Wrong
"Comedy, Action, Adventure, Science Fiction",en,2021-08-11,7.7,offline; bank; video,Free Guy
"Comedy, Crime",en,2021-05-26,8.2,fashion; make; raucous,Cruella
"Action, Adventure, Fantasy",en,2021-07-28,7.7,peacemaker; nutty; bloodsport,The Suicide Squad
"Animation, Comedy, Fantasy",en,2021-11-12,6.6,plusaversary; party; music,The Simpsons in Plusaversary
"Drama, War",en,2022-01-17,6.3,running; decision; boy,Forgive Us Our Trespasses
"Animation, Comedy, Family, Fantasy",en,2021-06-17,8.0,threatened; deeplyheld; riviera,Luca
"Action, Fantasy, Adventure",en,2021-04-07,7.2,washedup; hunted; heritage,Mortal Kombat
"Action, Adventure, Fantasy, Science Fiction",en,2021-03-18,8.3,proportions; recruit; catastrophic,Zack Snyder's Justice League
"Science Fiction, Thriller",en,2021-12-17,5.8,treacherous; uprising—in; stronghold,Mother/Android
"Comedy, Drama",fr,1986-11-04,5.5,virginity; seen; roger,Exploits of a Young Don Juan
"Science Fiction, Adventure",en,2021-09-15,7.9,potentialonly; universe; planet's,Dune
"Fantasy, Adventure, Comedy",ru,2021-01-01,7.1,surrounded; belogorie; old,The Last Warrior: Root of Evil
Horror,de,2022-02-09,5.1,elite; supernatural; attending,The Privilege
Horror,en,2021-06-11,6.4,could; known; ancient,Queen of Spades
"Drama, Horror, Mystery",en,2021-10-28,6.4,dangerous; could; consequences,Antlers
"Action, Thriller",en,2021-11-05,6.4,relentless; heads; gang,Dangerous
"Romance, Drama",en,2021-09-01,7.2,discovers; able; decision,After We Fell
"Adventure, Action, Thriller",en,2021-09-29,7.5,trail; active; treacherous,No Time to Die
"Action, Crime, Thriller",hi,2021-11-05,5.8,pulls; fearless; city,Sooryavanshi
"Science Fiction, Drama, Adventure",en,2021-11-04,8.1,dog; means; postapocalyptic,Finch
"Thriller, Horror",es,2021-07-23,5.4,abdomens; people; wake,Two
"Animation, Family, Adventure, Comedy",en,2021-08-09,7.5,metropolis; called; ryder,PAW Patrol: The Movie
"Adventure, Action, Science Fiction",en,2018-04-25,8.3,six; continued; avengers,Avengers: Infinity War
"Fantasy, Action",en,1989-06-23,7.2,underworld; criminal; nemesis,Batman
"Action, Adventure, Science Fiction",en,2021-07-07,7.5,history; conspiracy; spy,Black Widow
"Animation, Comedy",en,2022-02-18,5.7,mickey; season; stories,The Wonderful Winter of Mickey Mouse
"Action, Crime, Thriller, Adventure",en,2021-05-19,7.3,encountered:; they've; crew,F9
"Action, Adventure, Science Fiction",en,2022-02-03,5.9,knocks; know; hurtling,Moonfall
"Comedy, Drama",es,2022-02-04,2.2,twenty; carlos; characters,"Sex, Shame and Tears 2"
"Animation, Comedy, Family",en,2021-12-03,6.5,ambitious; rich; survive,Diary of a Wimpy Kid
"Comedy, Romance, Science Fiction",th,2022-02-15,5.3,due; future; real,AI Love You
"Action, Science Fiction, Comedy, Family",en,2022-03-30,0.0,test; hills; emerald,Sonic the Hedgehog 2
"Mystery, Family",en,2022-02-17,5.7,unleash; storybook; magical,Erax
"Animation, Action, Adventure, Science Fiction",en,2020-08-04,6.9,wrath; assassin; hive,Deathstroke: Knights & Dragons - The Movie
"Action, Drama, History",en,2021-10-13,7.6,jean; jacques; carrouges,The Last Duel
"Action, Adventure, Comedy, History",ko,2022-01-26,6.6,joseon; battle; sea,The Pirates: The Last Royal Treasure
"Horror, Mystery, Thriller",en,2021-10-29,6.5,extended; comes; following,Paranormal Activity: Next of Kin
"Drama, Crime, Thriller",en,2021-11-24,6.8,gucci; ambition; ultimately…murder,House of Gucci
"Romance, Horror, Thriller",ru,2021-02-11,6.7,heartbroken; black; magic,Dark Spell
"Action, Adventure, Comedy, Fantasy",en,2021-07-28,7.6,change; search; boat,Jungle Cruise
"Action, Fantasy, Science Fiction",en,2021-03-24,7.8,walk; battle; planet,Godzilla vs. Kong
"Action, Adventure, Fantasy",en,2012-06-23,6.7,quest; connors; got,The Amazing Spider-Man
"Romance, Crime",en,2022-02-17,5.6,nikki; —; nikki's,Heart Shot
"Action, Adventure, Fantasy, Science Fiction",en,2009-12-10,7.5,century; orders; pandora,Avatar
"Animation, Action, Drama, Science Fiction",ja,2021-06-11,7.8,federation; meeting; officer,Mobile Suit Gundam Hathaway
"Crime, Comedy",en,2021-10-27,6.9,apocalypse; early; zombie,Army of Thieves
"Drama, Romance",tr,2022-02-23,5.2,roughhewn; student; aspiring,UFO
"Thriller, Mystery",en,2022-03-03,5.9,croatia; each; girls',The Weekend Away
"Animation, Family, Adventure, Fantasy, Comedy",en,2020-11-25,7.6,meets; adventure; safer,The Croods: A New Age
"Animation, Family, Adventure, Comedy",en,2021-12-03,7.7,australia’s; reptile; plot,Back to the Outback
"Action, Science Fiction, Adventure",en,2021-07-02,8.0,future; soldiers; stunned,The Tomorrow War
"Family, Comedy",en,2022-01-28,6.9,sean; hometown; coaching,Home Team
Drama,en,2021-03-17,7.4,linear; feels; form,The Fallout
"Family, Fantasy, Animation, Action, Adventure",en,2021-03-03,8.0,long; dragon; fractured,Raya and the Last Dragon
"Science Fiction, Action, Thriller",en,2021-09-09,6.8,visited; memories; memories,Infinite
"Action, Crime, Thriller",en,2021-04-22,7.7,came; heist; security,Wrath of Man
"Crime, Action, Thriller",en,2021-12-17,6.2,day; son; officers,Fortress
"Family, Animation, Comedy, Science Fiction",en,2021-07-08,7.1,digitized; lebron; court,Space Jam: A New Legacy
"TV Movie, Mystery, Thriller, Comedy",es,2022-01-13,7.3,case:; lydia; murdered,Laura y el misterio del asesino inesperado
"Horror, Mystery, Thriller",en,2021-05-25,7.7,warren; demonic; suspect,The Conjuring: The Devil Made Me Do It
"Action, Crime, Drama",en,2005-06-10,7.7,system; work; bruce,Batman Begins
"Romance, Comedy",en,2022-01-20,6.8,hearts; afraid; stylists,The Royal Treatment
"Animation, Comedy, Family, Fantasy",en,2021-11-12,7.5,alberto; entire; than,Ciao Alberto
"TV Movie, Thriller, Crime",en,2021-06-05,7.8,vanished; mysteriously; wealthy,Gone Mom: The Disappearance of Jennifer Dulos
Horror,en,2021-06-28,6.6,solve; forces; horrific,Ripper Untold
"Horror, Science Fiction, Drama, Thriller",fr,2021-05-26,6.1,quickly; there; burns,Meander
"Thriller, War",en,2021-11-18,5.3,terrorist; knowledge; seeks,Zeros and Ones
"Action, Adventure",en,2021-07-22,6.8,eyes'; closest; ninja,Snake Eyes: G.I. Joe Origins
"Action, Thriller, Crime",en,2021-10-08,5.8,partner; stealth; david,Survive the Game
"Animation, Fantasy, Music, Adventure, Comedy, Family",en,2021-05-28,5.2,giganteus; whelan’s; teach,Riverdance: The Animated Adventure
"Action, Thriller, Science Fiction",en,2021-11-12,5.4,excop; hell; hunters,Apex
"Documentary, Crime",en,2022-02-02,7.1,victims; millions; wealthy,The Tinder Swindler
"Romance, Comedy",tr,2022-02-11,6.7,unusual; heels; don't,Love Tactics
"Animation, Adventure, Comedy, Family",en,2021-10-01,7.2,wacky; adventures; sorts,The Addams Family 2
"Action, Adventure, Fantasy",cn,2021-04-27,6.5,commonalty; han; rise,Dynasty Warriors
"Animation, Comedy, Family, Adventure",fr,2021-05-15,7.9,arriving; ladybug!; heads,Miraculous World: Shanghai – The Legend of Ladydragon
"Animation, Family, Comedy, Adventure, TV Movie",fr,2020-11-21,8.3,trip; superheroes; ladybug,"Miraculous World: New York, United HeroeZ"
Documentary,en,2022-03-03,6.9,desert; faces; kinds,Surviving Paradise: A Family Tale
"Animation, Action, Fantasy, Adventure",ja,2019-12-20,8.4,they're; attacked; eerily,My Hero Academia: Heroes Rising
"War, History, Drama",en,2021-11-04,6.5,skills; amina; kingdom,Amina
"Adventure, Drama",en,2021-12-03,6.4,marine; childhoods; boys,Encounter
"Horror, Thriller",en,2021-08-06,6.0,terrifying; boy; mother,Son
"Action, Adventure, Fantasy",en,2020-12-16,6.6,powerful; jeopardy; force,Wonder Woman 1984
"Action, Adventure, Fantasy",en,2014-04-16,6.5,spiderman; loves; high,The Amazing Spider-Man 2
Horror,th,2021-12-02,6.5,horrifying; hole; reveal,The Whole Truth
"Animation, Action, Crime",en,2022-02-07,6.2,villains; attempt; batwoman,Catwoman: Hunted
"Drama, History, War",en,2016-10-07,8.2,conscientious; history; medal,Hacksaw Ridge
Action,zh,2021-05-06,7.3,swore; company; again,Crazy Fist
"Adventure, Fantasy",en,2001-11-16,7.9,wizardry; uncovers; hogwarts,Harry Potter and the Philosopher's Stone
"Science Fiction, Action, Adventure",en,2012-04-25,7.7,begins!; pull; spanning,The Avengers
"Horror, Fantasy, Mystery",en,2021-06-15,6.1,strange; taken; looking,Dragon Fury
"Horror, Drama",es,2021-07-29,5.1,marital; baby; decide,Tarumama
"Action, Adventure, Fantasy, Science Fiction",en,2016-10-25,7.4,brilliant; sorcerer; surgeon,Doctor Strange
"Horror, Thriller",en,2021-10-14,6.8,laurie; trap; mob,Halloween Kills
Horror,en,2022-02-10,5.6,due; many; alive,The Exorcism of God
"Action, Adventure, Science Fiction",en,2019-06-28,7.5,peter; continent; natural,Spider-Man: Far From Home
Documentary,en,2022-01-01,8.0,cast; told; conversations,Harry Potter 20th Anniversary: Return to Hogwarts
"Romance, Drama",en,2020-09-02,7.3,herself; struggling; change,After We Collided
Thriller,en,2022-02-17,5.8,due; races; police,The Desperate Hour
"Action, Animation, Science Fiction",ja,2015-04-18,6.8,revenge; day; frieza,Dragon Ball Z: Resurrection 'F'
"Animation, Family, Comedy",en,2021-10-28,7.1,trained; these; merry,Seal Team
"Action, Mystery, Science Fiction, Thriller",en,2009-03-19,6.1,dug; already; predictions,Knowing
"Fantasy, Horror, Thriller, Drama",en,2021-10-01,7.2,real; law; witchcraft,Witch Hunt
"Action, Mystery, Science Fiction, Thriller",en,2014-09-10,7.2,“runners”; forces; trapped,The Maze Runner
Horror,en,2021-03-31,6.8,much; witness; able,The Unholy
"Action, Adventure, Thriller",ko,2019-12-19,6.6,peninsula; baekdu; volcano,Ashfall
"Drama, Romance, Music",en,2022-02-11,5.8,grieving; devastated; vivid,The Sky Is Everywhere
"Romance, Drama",en,2021-09-09,6.2,involved; physics; student,Time Is Up
Horror,en,2021-06-30,6.5,falling; submerged; specialize,The Deep House
"Animation, Action, Comedy",ja,2015-08-07,7.7,had; son; rises!,Boruto: Naruto the Movie
"Adventure, Fantasy",en,2002-11-13,7.7,harry; secrets; bloody,Harry Potter and the Chamber of Secrets
"Action, Science Fiction, Comedy, Family",en,2020-02-12,7.4,sega; evil; defend,Sonic the Hedgehog
"Family, Animation, Fantasy, Music, Comedy, Adventure",en,2017-10-27,8.2,ban; miguel; journey,Coco
Drama,fr,2017-06-21,6.0,spending; black; run,Ava
"War, Drama, Action",en,2014-10-15,7.5,men; strike; us,Fury
"Thriller, Horror",en,2021-08-12,7.4,forcing; hiding; quiet,Don't Breathe 2
"Action, Comedy, Adventure",es,2021-10-01,7.8,the; unexpected; tony,Matando Cabos 2: La Máscara del Máscara
"Action, Fantasy, Adventure",en,2020-12-03,6.8,artemis; soldiers; portal,Monster Hunter
"Action, Romance, Animation",ja,2014-12-06,7.9,created; fate; allies,The Last: Naruto the Movie
"Action, Adventure, Science Fiction, Drama",en,2017-07-05,7.4,parker; york; balance,Spider-Man: Homecoming
"Science Fiction, Comedy",fr,2022-02-11,5.4,even; tasks; 2045,Bigbug
"Fantasy, Action",en,2002-05-01,7.2,genetically; spider; altered,Spider-Man
"Adventure, Science Fiction, Action",en,2019-04-24,8.3,once; avengers:; order,Avengers: Endgame
"Thriller, Mystery, Horror",en,2021-07-21,6.6,causing; staying; beach,Old
"Action, Science Fiction, Drama",en,2011-09-28,6.9,estranged; robots; ring,Real Steel
"Romance, Comedy",ko,2022-02-11,6.3,hurt; good; enter,Love and Leashes
"Romance, Drama",en,2019-04-11,7.2,tessa's; dedicated; high,After
"Horror, Action, Thriller",en,2021-06-30,7.3,annual; broken; marauders,The Forever Purge
"Comedy, Drama, Romance",en,2022-02-11,6.0,those; jodi; popularity,Tall Girl 2
"Drama, Comedy",en,2022-02-17,8.3,army; trip; embark,Dog
"Drama, Science Fiction, Thriller",en,2007-12-12,7.2,york; city; three,I Am Legend
"Animation, Action, Fantasy",ja,2007-08-04,7.2,sealing; meaning; decides,Naruto Shippuden the Movie
"Comedy, Family, Animation",en,2021-02-10,7.0,relocate; york; tom,Tom & Jerry
"Adventure, History, Drama",en,2022-02-10,7.0,survive; fight; they're,Against the Ice
"Animation, Comedy",es,2021-08-12,8.1,toto; egg; children,An Egg Rescue
"Adventure, Fantasy, Family",en,2005-11-16,7.8,grueling; fierce; name,Harry Potter and the Goblet of Fire
"Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",ja,2021-02-11,8.1,under; comes; begins,Pretty Guardian Sailor Moon Eternal The Movie Part 2
"Horror, Thriller",en,2021-07-29,4.8,daughter; root; demons,Demonic
"Animation, Family",en,2021-11-24,8.1,both; parent; beach,Far From the Tree
"Horror, Thriller, Adventure, Mystery",en,2020-07-09,5.1,cave; flood; couple,Black Water: Abyss
"Animation, Drama, Romance",ja,2020-12-11,6.7,roped; artist; kei,"Yes, No, or Maybe Half?"
"Family, Animation, Fantasy, Adventure, Comedy",en,2020-08-14,7.6,far; pinkshelled; away,The SpongeBob Movie: Sponge on the Run
"Action, Adventure, Animation, Science Fiction",en,2018-12-06,8.4,transported; others; fisk,Spider-Man: Into the Spider-Verse
"Adventure, Fantasy",en,2004-05-31,8.0,hogwarts; harry; brings,Harry Potter and the Prisoner of Azkaban
"Crime, Action, Thriller",en,2021-03-03,7.1,distracted; thieves; score,The Vault
"Science Fiction, Adventure, Comedy",en,2022-03-09,6.0,crashlanding; pilot; reed,The Adam Project
"Action, Adventure, Comedy",en,2016-02-09,7.6,humor; subjected; armed,Deadpool
Western,en,2021-10-22,6.7,revenge; crime; gunning,The Harder They Fall
"Animation, Comedy, Family",en,2001-11-01,7.8,though; james; scaring,"Monsters, Inc."
"Adventure, Animation, Family, Fantasy",en,2021-02-09,7.1,humorous; goofy; guides,Ainbo: Spirit of the Amazon
"Comedy, Drama, Science Fiction",en,2021-12-07,7.2,giant; astronomers; planet,Don't Look Up
"Animation, Adventure, Comedy, Family",en,2017-06-15,6.8,technician; isn't; #95,Cars 3
"Fantasy, Action, Adventure",en,2007-05-01,6.3,brock; allnew; goes,Spider-Man 3
"Western, Action, Thriller",en,2021-12-03,6.4,husband; ranch; husband's,Last Shoot Out
Horror,en,2019-07-21,5.4,desolate; entity; supernatural,Sator
"Adventure, Action, Science Fiction",en,2010-04-28,6.8,side; inventor; –,Iron Man 2
"Animation, Comedy, Fantasy, Family",en,2020-12-25,8.2,you; center; newborn,Soul
"Adventure, Action, Fantasy",en,2011-05-14,6.5,it's; unexpected; jack,Pirates of the Caribbean: On Stranger Tides
"Horror, Thriller",en,2021-02-28,5.4,weaponize; extreme; under,Phobias
"Science Fiction, Thriller, Horror",en,2021-05-21,7.6,terrors; forced; lurk,A Quiet Place Part II
"Horror, Drama, Thriller",it,1972-10-14,5.7,wife; wealthy; author's,What the Peeper Saw
"Action, Crime",en,2023-04-06,0.0,fast; installment; saga,Fast & Furious 10
"Action, Crime, Drama, Thriller",en,2012-07-16,7.8,city; enemy; batman,The Dark Knight Rises
"Animation, Fantasy, Family",en,2021-11-26,7.6,swap; quite; gift,Trolls Holiday in Harmony
"Action, Adventure, Fantasy",en,2016-03-23,5.9,than; godlike; ever,Batman v Superman: Dawn of Justice
"Thriller, Horror",en,2021-09-01,7.2,happening; isolated; instincts,Motherly
"Action, Crime, Thriller",en,2021-03-18,8.2,nobody; dad; secrets,Nobody
"Animation, Action, Adventure, Fantasy",ja,2018-08-03,8.0,class; items; able,My Hero Academia: Two Heroes
"Adventure, Fantasy",en,2009-07-07,7.7,lord; lie; again,Harry Potter and the Half-Blood Prince
"Comedy, Romance",en,2022-01-06,5.3,writer; furious; invited,Book of Love
"Action, Science Fiction, Thriller",en,2021-08-26,5.0,worse; male; battle’s,Jurassic Hunt
Drama,en,2021-12-25,7.2,fame; quarterback; kurt,American Underdog
"Drama, Action, Crime, Thriller",en,2008-07-14,8.5,known; district; jim,The Dark Knight
"Animation, Action, Adventure, Mystery",ja,2021-02-24,7.8,enroll; serious; won't,Jujutsu Kaisen 0
"Action, Crime, Drama, Thriller",en,2020-07-02,5.7,survival; job; wrong,Ava
"Romance, Drama",es,2010-12-03,7.8,class; worlds; unconscious,Three Steps Above Heaven
"Comedy, Drama",ko,2021-08-11,7.1,unfortunate; pour; mansu,Sinkhole
"Action, Thriller",en,2010-05-22,7.5,fight; knee; fighter,Undisputed III: Redemption
"Animation, Adventure, Family, Comedy",en,1995-10-30,8.0,room; andy's; heart,Toy Story
"Family, Fantasy, Adventure, Comedy, Horror",en,2020-10-25,6.5,live; goes; boy,Roald Dahl's The Witches
Comedy,es,2021-12-25,3.5,excursion; straw; better,El Paseo 6
"Horror, Drama",en,2021-04-30,5.7,ghost; dead; solace,Separation
"Animation, Science Fiction, Action",ja,2022-04-22,0.0,destroyed; mightier; past,Dragon Ball Super: Super Hero
Romance,en,2022-08-25,0.0,sweet; so; different,After Ever Happy
"Drama, Thriller, War",en,2009-01-22,7.1,duty; marine; sam’s,Brothers
"Animation, Comedy, Fantasy, Adventure, Family",en,2001-05-18,7.7,donkey; retrieve; unlikely,Shrek
"Action, Comedy, Documentary",en,2022-02-01,7.1,hilarious; knoxville; perfectly,Jackass Forever
"Adventure, Family, Animation, Action, Comedy",en,2014-10-24,7.8,plussized; bond; special,Big Hero 6
"Animation, Comedy, Fantasy",en,2021-04-02,7.5,occupy; playtime; pets,Monster Pets: A Hotel Transylvania Short
"Romance, Comedy",es,2015-03-03,6.2,germany; unemployment; university,Off Course
"Action, Adventure, Fantasy",en,2014-12-10,7.3,men; it:; hope,The Hobbit: The Battle of the Five Armies
"Action, Adventure",ru,2021-04-01,6.8,uncompromising; grom; integrity,Major Grom: Plague Doctor
"Animation, Family",en,2021-01-13,7.1,vampire; renfield; werewolf,Monster Family 2
"Action, Crime, Thriller",en,2021-07-14,6.4,8yearold; sam; go,Gunpowder Milkshake
"Crime, Horror",ja,1986-01-18,4.0,tables; physically; until,Beautiful Sisters: Flesh Slave
"Action, Drama, Crime",en,2021-01-22,6.7,welling; writer:; tom,Narco Sub
"Adventure, Fantasy, Mystery",en,2007-06-28,7.7,ministry; magic; showdown,Harry Potter and the Order of the Phoenix
"Crime, Thriller",en,2015-09-09,6.9,leave; nightclubs; suave,Legend
"Animation, Comedy, Mystery, Family, Fantasy",en,2021-09-14,8.2,giant; cicada; mystery,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
"TV Movie, Animation, Comedy, Family, Drama",en,2021-08-13,7.0,i; epic; do,Descendants: The Royal Wedding
"Family, Animation, Adventure, Comedy, Fantasy",en,2019-11-20,7.3,forest; olaf; ancient,Frozen II
"Horror, Action",en,2021-08-13,7.5,escape; gets; it's,Swim
"Drama, Science Fiction",zh,2021-08-27,6.6,near; scarce; top,Mutation on Mars
"Science Fiction, Thriller, Mystery",en,2021-09-03,5.5,hired; creator; near,Zone 414
"Fantasy, Adventure",en,2011-07-07,8.1,trio; rival; harry,Harry Potter and the Deathly Hallows: Part 2
"Action, Adventure, Science Fiction",en,2015-04-22,7.3,action; villainous; stark,Avengers: Age of Ultron
"Action, Adventure, Fantasy, Science Fiction",en,2017-10-24,7.6,asgardian; stop; hela,Thor: Ragnarok
"Horror, Fantasy",en,2019-09-04,6.9,brought; malevolent; entity,It Chapter Two
"Family, Animation, Drama",en,1994-06-23,8.3,grows; days; killed,The Lion King
"Drama, History",en,2021-11-18,8.0,tennis; how; history,King Richard
"Thriller, Horror, Mystery",en,2021-10-21,7.5,idol; dazzling; able,Last Night in Soho
"Action, Fantasy",en,1992-06-19,6.9,catwoman; employee; penguin,Batman Returns
"Adventure, Fantasy, Drama, Romance",en,2010-06-23,6.2,midst; bella; ravaged,The Twilight Saga: Eclipse
"Crime, Drama, Thriller",en,2021-09-03,6.4,michael; fractured; boss,Wild Indian
Comedy,en,2012-03-01,6.8,spiral; things; spreads,Project X
Action,en,2021-08-19,6.6,moody; killer; everything,The Protégé
"Crime, Thriller, Drama, Action",en,2021-11-05,5.9,job; armed; sentence,Ida Red
"Horror, Thriller",en,2013-01-14,5.6,south; helena’s; sophia,The Haunting of Helena
"Action, Adventure, Crime",zh,2020-09-30,6.3,covert; security; last,Vanguard
"Adventure, Fantasy, Action",en,2003-07-09,7.8,port; bent; daughter,Pirates of the Caribbean: The Curse of the Black Pearl
"Animation, Comedy, Family",en,2021-07-07,7.5,opponents; teams; god,"The Simpsons: The Good, the Bart, and the Loki"
"Action, Thriller, Crime",en,2021-01-15,7.0,safety; stop; jim,The Marksman
"Adventure, Family, Drama",fr,2021-12-15,7.3,silent; stéphane; despite,Vicky and Her Mystery
"Animation, Adventure, Comedy, Fantasy",ja,2019-08-30,8.4,village; lord's; turns,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
"Drama, Crime",pt,2021-10-22,7.1,human; clutches; struggle,7 Prisoners
Documentary,es,2022-02-23,6.5,insiders; 11; march,11M
"Science Fiction, Action",ko,2021-04-12,7.6,intelligence; trouble; others,Seobok: Project Clone
"Animation, Family, Comedy, Fantasy, Adventure",en,2004-05-19,7.2,godmother; destroying; far,Shrek 2
"Adventure, Fantasy, Family",en,2010-02-01,6.2,zeus'; gods; accident,Percy Jackson & the Olympians: The Lightning Thief
"Romance, Animation, Drama",ja,2016-08-26,8.5,night; randomly; taki’s,Your Name.
Comedy,en,2021-12-17,5.9,ceo; if; company,Chief Daddy 2: Going for Broke
"Adventure, Action, Science Fiction",en,2016-04-27,7.4,causing; act; polarizes,Captain America: Civil War
"Crime, Thriller, Drama",en,2019-10-02,8.2,insane; 1980s; figure,Joker
"Crime, Drama, Thriller, Action",en,2012-12-20,6.6,begins; chase; points,Jack Reacher
"Comedy, Drama",it,2022-03-04,6.7,documentary; makes; fathers,The Invisible Thread
"Drama, Action, Thriller",en,2021-08-11,5.9,difference; whether; channel,SAS: Red Notice
"Adventure, Fantasy, Drama",en,2020-09-04,7.0,name; potential; mulan,Mulan
"Comedy, Romance",en,2022-02-10,6.1,marriage; biggest; unexpected,I Want You Back
"Adventure, Fantasy, Action",en,2006-07-06,7.3,blood; debt; captain,Pirates of the Caribbean: Dead Man's Chest
Action,en,2009-09-29,6.5,deadliest; free; preparing,Ninja Assassin
"Crime, Drama, Comedy",en,2013-12-25,8.0,corruption; cooperate; fraud,The Wolf of Wall Street
"Animation, Adventure, Fantasy, Family, TV Movie",en,2021-12-30,7.4,use; wakes; courage,Hilda and the Mountain King
"Action, Adventure, Drama",ja,2021-06-04,7.8,assassin; heart; carries,Rurouni Kenshin: The Beginning
"Action, Adventure, Comedy",ml,2021-12-24,7.2,tailor; unexpected; struck,Minnal Murali
"Animation, Adventure, Fantasy, Action, Family",ja,2019-07-12,6.7,invitation; created; do,Pokémon: Mewtwo Strikes Back - Evolution
"Animation, Action, Adventure, Fantasy",ja,2021-07-30,7.0,organization; destroy; king,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon
