Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Family, Animation, Comedy, Adventure",fr,2006-04-05,6.1,obelix; norway; tough,Asterix and the Vikings
"Drama, Action, Thriller",cn,1994-07-28,6.6,chinese; another; so,The Bodyguard from Beijing
"Drama, Horror",fr,2016-11-11,7.1,right; older; vet,Raw
"Drama, Romance",ja,2021-11-05,6.2,feckless; looking; friend,We Couldn't Become Adults
"Action, Thriller",en,2013-04-18,5.5,psych; complicated; black,The Numbers Station
"Comedy, Drama, Family, TV Movie",en,2012-06-09,6.2,fm; she's; slot,Radio Rebel
"Adventure, Family, Drama",fr,2018-12-12,8.0,capi; mother; mutual,"Remi, Nobody's Boy"
"Adventure, Comedy",en,2001-08-17,6.2,locker; every; pitting,Rat Race
"Family, Comedy",en,2014-10-08,6.2,dad; though; bad,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
Romance,ja,2018-06-18,6.3,hikaru; likes; don't,Real Girl
"Action, Western, Crime",en,1983-04-15,6.6,arts; involving; weapons,Lone Wolf McQuade
"Horror, Thriller",ja,1979-10-27,6.1,tatsuya; welltodo; sadosexual,Star of David: Beauty Hunting
"Adventure, Horror",en,2020-03-14,7.7,unleashes; 1979; stumbles,They Reach
"Fantasy, Family, Romance",cs,1973-11-16,7.6,confides; popelka; house,Three Wishes for Cinderella
"Horror, Science Fiction",en,2009-05-19,3.9,each; supremacy; sea,Mega Shark vs. Giant Octopus
"Horror, Romance, Thriller",en,2022-03-10,0.0,herself; cults; succumb,A Ballad of Saints and Sinners
"Drama, History",en,2020-03-13,6.9,effect; coastal; documents,Minamata
"Crime, Drama",en,2020-06-26,5.0,starts; old; al,Capone
"Horror, Action",en,2014-08-28,6.0,road; joe; lunatic,Wolves
"Action, Adventure, Comedy, Fantasy, Science Fiction",en,1984-08-17,5.8,murder; tribe; flee,Sheena
"Action, Thriller",en,1996-09-13,5.6,south; death; russian,Maximum Risk
Comedy,es,2009-01-01,7.0,christian; wants; live,Cristiano de la Secreta
"Romance, Science Fiction, Fantasy, Thriller",en,2001-01-22,6.8,car; accident; warmhearted,Vanilla Sky
